table_name
app_company
assignments
audit_logs
branches
capabilities
cart_items
cashboxes
collection_allocations
collections
companies
custody_records
customer_accounts
customer_assignments
customer_tier_assignments
customer_warehouse
customers
dashboard_runtime_stats
employee_hierarchy
employee_roles
employee_scopes
employees
event_subscriptions
expense_categories
hot_products_runtime
inventory_balances
inventory_movements
inventory_reservations
inventory_stock
inventory_transactions
legacy_capability_mapping
legacy_companies_map
legacy_customers_map
legacy_orders_map
legacy_products_map
legacy_units_map
notifications_queue
offer_items
offers
order_assignments
order_items
order_items_snapshot
order_status_history
orders
ownership_change_log
payment_methods
pricing_overrides
pricing_segments
pricing_tiers
product_prices
product_runtime_cards
product_tier_exceptions
product_tier_pricing
product_units
products
purchase_invoice_items
purchase_invoices
purchase_items
purchases
rep_live_locations
role_capabilities
roles
runtime_alerts
runtime_audit_logs
runtime_cart_view
runtime_customer_orders
runtime_customer_ownership
runtime_customer_permissions
runtime_customer_visibility
runtime_customer_visibility_v2
runtime_employee_capabilities
runtime_employee_orders
runtime_employee_permissions
runtime_events
runtime_events_health
runtime_failed_events
runtime_feature_flags
runtime_metrics
runtime_operations_dashboard
runtime_order_status
runtime_order_visibility
runtime_processing_events
runtime_product_management
runtime_product_prices
runtime_visits_with_maps
search_index_runtime
search_suggestions_runtime
section_runtime_cache
slow_queries_runtime
suppliers
system_events
treasury_transactions
visit_events
visit_locations
visit_notes
visit_photos
visit_status_history
visit_tasks
visits
warehouses
workflow_transition_roles
